GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,RK9E001,NAME_M,RK9M001
"G44000100301001","2005-2009","RI",,,"Rhode Island","44","Bristol County","001",,,"030100","1",,,,,,,,,,,,,,,,,,,,,,,,"15000US440010301001","Block Group 1, Census Tract 301, Bristol County, Rhode Island",1895,"Block Group 1, Census Tract 301, Bristol County, Rhode Island",348
"G44000100301002","2005-2009","RI",,,"Rhode Island","44","Bristol County","001",,,"030100","2",,,,,,,,,,,,,,,,,,,,,,,,"15000US440010301002","Block Group 2, Census Tract 301, Bristol County, Rhode Island",929,"Block Group 2, Census Tract 301, Bristol County, Rhode Island",219
"G44000100301003","2005-2009","RI",,,"Rhode Island","44","Bristol County","001",,,"030100","3",,,,,,,,,,,,,,,,,,,,,,,,"15000US440010301003","Block Group 3, Census Tract 301, Bristol County, Rhode Island",941,"Block Group 3, Census Tract 301, Bristol County, Rhode Island",178
"G44000100301004","2005-2009","RI",,,"Rhode Island","44","Bristol County","001",,,"030100","4",,,,,,,,,,,,,,,,,,,,,,,,"15000US440010301004","Block Group 4, Census Tract 301, Bristol County, Rhode Island",994,"Block Group 4, Census Tract 301, Bristol County, Rhode Island",218
"G44000100302001","2005-2009","RI",,,"Rhode Island","44","Bristol County","001",,,"030200","1",,,,,,,,,,,,,,,,,,,,,,,,"15000US440010302001","Block Group 1, Census Tract 302, Bristol County, Rhode Island",1120,"Block Group 1, Census Tract 302, Bristol County, Rhode Island",201
"G44000100302002","2005-2009","RI",,,"Rhode Island","44","Bristol County","001",,,"030200","2",,,,,,,,,,,,,,,,,,,,,,,,"15000US440010302002","Block Group 2, Census Tract 302, Bristol County, Rhode Island",893,"Block Group 2, Census Tract 302, Bristol County, Rhode Island",177
"G44000100302003","2005-2009","RI",,,"Rhode Island","44","Bristol County","001",,,"030200","3",,,,,,,,,,,,,,,,,,,,,,,,"15000US440010302003","Block Group 3, Census Tract 302, Bristol County, Rhode Island",536,"Block Group 3, Census Tract 302, Bristol County, Rhode Island",119
"G44000100302004","2005-2009","RI",,,"Rhode Island","44","Bristol County","001",,,"030200","4",,,,,,,,,,,,,,,,,,,,,,,,"15000US440010302004","Block Group 4, Census Tract 302, Bristol County, Rhode Island",744,"Block Group 4, Census Tract 302, Bristol County, Rhode Island",250
"G44000100303001","2005-2009","RI",,,"Rhode Island","44","Bristol County","001",,,"030300","1",,,,,,,,,,,,,,,,,,,,,,,,"15000US440010303001","Block Group 1, Census Tract 303, Bristol County, Rhode Island",1244,"Block Group 1, Census Tract 303, Bristol County, Rhode Island",224
"G44000100303002","2005-2009","RI",,,"Rhode Island","44","Bristol County","001",,,"030300","2",,,,,,,,,,,,,,,,,,,,,,,,"15000US440010303002","Block Group 2, Census Tract 303, Bristol County, Rhode Island",1537,"Block Group 2, Census Tract 303, Bristol County, Rhode Island",276
"G44000100303003","2005-2009","RI",,,"Rhode Island","44","Bristol County","001",,,"030300","3",,,,,,,,,,,,,,,,,,,,,,,,"15000US440010303003","Block Group 3, Census Tract 303, Bristol County, Rhode Island",1703,"Block Group 3, Census Tract 303, Bristol County, Rhode Island",228
"G44000100304001","2005-2009","RI",,,"Rhode Island","44","Bristol County","001",,,"030400","1",,,,,,,,,,,,,,,,,,,,,,,,"15000US440010304001","Block Group 1, Census Tract 304, Bristol County, Rhode Island",1114,"Block Group 1, Census Tract 304, Bristol County, Rhode Island",216
"G44000100304002","2005-2009","RI",,,"Rhode Island","44","Bristol County","001",,,"030400","2",,,,,,,,,,,,,,,,,,,,,,,,"15000US440010304002","Block Group 2, Census Tract 304, Bristol County, Rhode Island",1539,"Block Group 2, Census Tract 304, Bristol County, Rhode Island",207
"G44000100304003","2005-2009","RI",,,"Rhode Island","44","Bristol County","001",,,"030400","3",,,,,,,,,,,,,,,,,,,,,,,,"15000US440010304003","Block Group 3, Census Tract 304, Bristol County, Rhode Island",1266,"Block Group 3, Census Tract 304, Bristol County, Rhode Island",245
"G44000100305001","2005-2009","RI",,,"Rhode Island","44","Bristol County","001",,,"030500","1",,,,,,,,,,,,,,,,,,,,,,,,"15000US440010305001","Block Group 1, Census Tract 305, Bristol County, Rhode Island",804,"Block Group 1, Census Tract 305, Bristol County, Rhode Island",224
"G44000100305002","2005-2009","RI",,,"Rhode Island","44","Bristol County","001",,,"030500","2",,,,,,,,,,,,,,,,,,,,,,,,"15000US440010305002","Block Group 2, Census Tract 305, Bristol County, Rhode Island",1086,"Block Group 2, Census Tract 305, Bristol County, Rhode Island",235
"G44000100305003","2005-2009","RI",,,"Rhode Island","44","Bristol County","001",,,"030500","3",,,,,,,,,,,,,,,,,,,,,,,,"15000US440010305003","Block Group 3, Census Tract 305, Bristol County, Rhode Island",710,"Block Group 3, Census Tract 305, Bristol County, Rhode Island",196
"G44000100305004","2005-2009","RI",,,"Rhode Island","44","Bristol County","001",,,"030500","4",,,,,,,,,,,,,,,,,,,,,,,,"15000US440010305004","Block Group 4, Census Tract 305, Bristol County, Rhode Island",988,"Block Group 4, Census Tract 305, Bristol County, Rhode Island",260
"G44000100306011","2005-2009","RI",,,"Rhode Island","44","Bristol County","001",,,"030601","1",,,,,,,,,,,,,,,,,,,,,,,,"15000US440010306011","Block Group 1, Census Tract 306.01, Bristol County, Rhode Island",936,"Block Group 1, Census Tract 306.01, Bristol County, Rhode Island",273
"G44000100306012","2005-2009","RI",,,"Rhode Island","44","Bristol County","001",,,"030601","2",,,,,,,,,,,,,,,,,,,,,,,,"15000US440010306012","Block Group 2, Census Tract 306.01, Bristol County, Rhode Island",1322,"Block Group 2, Census Tract 306.01, Bristol County, Rhode Island",222
"G44000100306013","2005-2009","RI",,,"Rhode Island","44","Bristol County","001",,,"030601","3",,,,,,,,,,,,,,,,,,,,,,,,"15000US440010306013","Block Group 3, Census Tract 306.01, Bristol County, Rhode Island",1148,"Block Group 3, Census Tract 306.01, Bristol County, Rhode Island",177
"G44000100306021","2005-2009","RI",,,"Rhode Island","44","Bristol County","001",,,"030602","1",,,,,,,,,,,,,,,,,,,,,,,,"15000US440010306021","Block Group 1, Census Tract 306.02, Bristol County, Rhode Island",836,"Block Group 1, Census Tract 306.02, Bristol County, Rhode Island",164
"G44000100306022","2005-2009","RI",,,"Rhode Island","44","Bristol County","001",,,"030602","2",,,,,,,,,,,,,,,,,,,,,,,,"15000US440010306022","Block Group 2, Census Tract 306.02, Bristol County, Rhode Island",871,"Block Group 2, Census Tract 306.02, Bristol County, Rhode Island",227
"G44000100306023","2005-2009","RI",,,"Rhode Island","44","Bristol County","001",,,"030602","3",,,,,,,,,,,,,,,,,,,,,,,,"15000US440010306023","Block Group 3, Census Tract 306.02, Bristol County, Rhode Island",1520,"Block Group 3, Census Tract 306.02, Bristol County, Rhode Island",221
"G44000100306024","2005-2009","RI",,,"Rhode Island","44","Bristol County","001",,,"030602","4",,,,,,,,,,,,,,,,,,,,,,,,"15000US440010306024","Block Group 4, Census Tract 306.02, Bristol County, Rhode Island",844,"Block Group 4, Census Tract 306.02, Bristol County, Rhode Island",245
"G44000100307001","2005-2009","RI",,,"Rhode Island","44","Bristol County","001",,,"030700","1",,,,,,,,,,,,,,,,,,,,,,,,"15000US440010307001","Block Group 1, Census Tract 307, Bristol County, Rhode Island",800,"Block Group 1, Census Tract 307, Bristol County, Rhode Island",235
"G44000100307002","2005-2009","RI",,,"Rhode Island","44","Bristol County","001",,,"030700","2",,,,,,,,,,,,,,,,,,,,,,,,"15000US440010307002","Block Group 2, Census Tract 307, Bristol County, Rhode Island",1284,"Block Group 2, Census Tract 307, Bristol County, Rhode Island",310
"G44000100307003","2005-2009","RI",,,"Rhode Island","44","Bristol County","001",,,"030700","3",,,,,,,,,,,,,,,,,,,,,,,,"15000US440010307003","Block Group 3, Census Tract 307, Bristol County, Rhode Island",589,"Block Group 3, Census Tract 307, Bristol County, Rhode Island",231
"G44000100307004","2005-2009","RI",,,"Rhode Island","44","Bristol County","001",,,"030700","4",,,,,,,,,,,,,,,,,,,,,,,,"15000US440010307004","Block Group 4, Census Tract 307, Bristol County, Rhode Island",458,"Block Group 4, Census Tract 307, Bristol County, Rhode Island",165
"G44000100307005","2005-2009","RI",,,"Rhode Island","44","Bristol County","001",,,"030700","5",,,,,,,,,,,,,,,,,,,,,,,,"15000US440010307005","Block Group 5, Census Tract 307, Bristol County, Rhode Island",554,"Block Group 5, Census Tract 307, Bristol County, Rhode Island",151
"G44000100308001","2005-2009","RI",,,"Rhode Island","44","Bristol County","001",,,"030800","1",,,,,,,,,,,,,,,,,,,,,,,,"15000US440010308001","Block Group 1, Census Tract 308, Bristol County, Rhode Island",905,"Block Group 1, Census Tract 308, Bristol County, Rhode Island",184
"G44000100308002","2005-2009","RI",,,"Rhode Island","44","Bristol County","001",,,"030800","2",,,,,,,,,,,,,,,,,,,,,,,,"15000US440010308002","Block Group 2, Census Tract 308, Bristol County, Rhode Island",1788,"Block Group 2, Census Tract 308, Bristol County, Rhode Island",289
"G44000100308003","2005-2009","RI",,,"Rhode Island","44","Bristol County","001",,,"030800","3",,,,,,,,,,,,,,,,,,,,,,,,"15000US440010308003","Block Group 3, Census Tract 308, Bristol County, Rhode Island",692,"Block Group 3, Census Tract 308, Bristol County, Rhode Island",132
"G44000100308009","2005-2009","RI",,,"Rhode Island","44","Bristol County","001",,,"030800","9",,,,,,,,,,,,,,,,,,,,,,,,"15000US440010308009","Block Group 9, Census Tract 308, Bristol County, Rhode Island",1428,"Block Group 9, Census Tract 308, Bristol County, Rhode Island",485
"G44000100309011","2005-2009","RI",,,"Rhode Island","44","Bristol County","001",,,"030901","1",,,,,,,,,,,,,,,,,,,,,,,,"15000US440010309011","Block Group 1, Census Tract 309.01, Bristol County, Rhode Island",2495,"Block Group 1, Census Tract 309.01, Bristol County, Rhode Island",407
"G44000100309012","2005-2009","RI",,,"Rhode Island","44","Bristol County","001",,,"030901","2",,,,,,,,,,,,,,,,,,,,,,,,"15000US440010309012","Block Group 2, Census Tract 309.01, Bristol County, Rhode Island",2666,"Block Group 2, Census Tract 309.01, Bristol County, Rhode Island",481
"G44000100309013","2005-2009","RI",,,"Rhode Island","44","Bristol County","001",,,"030901","3",,,,,,,,,,,,,,,,,,,,,,,,"15000US440010309013","Block Group 3, Census Tract 309.01, Bristol County, Rhode Island",1936,"Block Group 3, Census Tract 309.01, Bristol County, Rhode Island",517
