GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,ADKWE001,NAME_M,ADKWM001
"G44000100301001","2011-2015","RI",,,"Rhode Island","44","Bristol County","001",,,"030100","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010301001",,,"Block Group 1, Census Tract 301, Bristol County, Rhode Island",1546,"Block Group 1, Census Tract 301, Bristol County, Rhode Island",211
"G44000100301002","2011-2015","RI",,,"Rhode Island","44","Bristol County","001",,,"030100","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010301002",,,"Block Group 2, Census Tract 301, Bristol County, Rhode Island",871,"Block Group 2, Census Tract 301, Bristol County, Rhode Island",193
"G44000100301003","2011-2015","RI",,,"Rhode Island","44","Bristol County","001",,,"030100","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010301003",,,"Block Group 3, Census Tract 301, Bristol County, Rhode Island",1369,"Block Group 3, Census Tract 301, Bristol County, Rhode Island",275
"G44000100301004","2011-2015","RI",,,"Rhode Island","44","Bristol County","001",,,"030100","4",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010301004",,,"Block Group 4, Census Tract 301, Bristol County, Rhode Island",971,"Block Group 4, Census Tract 301, Bristol County, Rhode Island",189
"G44000100302001","2011-2015","RI",,,"Rhode Island","44","Bristol County","001",,,"030200","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010302001",,,"Block Group 1, Census Tract 302, Bristol County, Rhode Island",904,"Block Group 1, Census Tract 302, Bristol County, Rhode Island",194
"G44000100302002","2011-2015","RI",,,"Rhode Island","44","Bristol County","001",,,"030200","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010302002",,,"Block Group 2, Census Tract 302, Bristol County, Rhode Island",1318,"Block Group 2, Census Tract 302, Bristol County, Rhode Island",223
"G44000100302003","2011-2015","RI",,,"Rhode Island","44","Bristol County","001",,,"030200","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010302003",,,"Block Group 3, Census Tract 302, Bristol County, Rhode Island",765,"Block Group 3, Census Tract 302, Bristol County, Rhode Island",150
"G44000100303001","2011-2015","RI",,,"Rhode Island","44","Bristol County","001",,,"030300","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010303001",,,"Block Group 1, Census Tract 303, Bristol County, Rhode Island",1124,"Block Group 1, Census Tract 303, Bristol County, Rhode Island",191
"G44000100303002","2011-2015","RI",,,"Rhode Island","44","Bristol County","001",,,"030300","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010303002",,,"Block Group 2, Census Tract 303, Bristol County, Rhode Island",1769,"Block Group 2, Census Tract 303, Bristol County, Rhode Island",234
"G44000100303003","2011-2015","RI",,,"Rhode Island","44","Bristol County","001",,,"030300","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010303003",,,"Block Group 3, Census Tract 303, Bristol County, Rhode Island",1629,"Block Group 3, Census Tract 303, Bristol County, Rhode Island",241
