GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,AJWME001,NAME_M,AJWMM001
"G44000100301001","2014-2018","RI",,,"Rhode Island","44","Bristol County","001",,,"030100","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010301001",,,"Block Group 1, Census Tract 301, Bristol County, Rhode Island",1356,"Block Group 1, Census Tract 301, Bristol County, Rhode Island",226
"G44000100301002","2014-2018","RI",,,"Rhode Island","44","Bristol County","001",,,"030100","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010301002",,,"Block Group 2, Census Tract 301, Bristol County, Rhode Island",826,"Block Group 2, Census Tract 301, Bristol County, Rhode Island",188
"G44000100301003","2014-2018","RI",,,"Rhode Island","44","Bristol County","001",,,"030100","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010301003",,,"Block Group 3, Census Tract 301, Bristol County, Rhode Island",1045,"Block Group 3, Census Tract 301, Bristol County, Rhode Island",205
"G44000100301004","2014-2018","RI",,,"Rhode Island","44","Bristol County","001",,,"030100","4",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010301004",,,"Block Group 4, Census Tract 301, Bristol County, Rhode Island",1152,"Block Group 4, Census Tract 301, Bristol County, Rhode Island",270
"G44000100302001","2014-2018","RI",,,"Rhode Island","44","Bristol County","001",,,"030200","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010302001",,,"Block Group 1, Census Tract 302, Bristol County, Rhode Island",912,"Block Group 1, Census Tract 302, Bristol County, Rhode Island",205
"G44000100302002","2014-2018","RI",,,"Rhode Island","44","Bristol County","001",,,"030200","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010302002",,,"Block Group 2, Census Tract 302, Bristol County, Rhode Island",1225,"Block Group 2, Census Tract 302, Bristol County, Rhode Island",201
"G44000100302003","2014-2018","RI",,,"Rhode Island","44","Bristol County","001",,,"030200","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010302003",,,"Block Group 3, Census Tract 302, Bristol County, Rhode Island",949,"Block Group 3, Census Tract 302, Bristol County, Rhode Island",195
"G44000100303001","2014-2018","RI",,,"Rhode Island","44","Bristol County","001",,,"030300","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010303001",,,"Block Group 1, Census Tract 303, Bristol County, Rhode Island",1384,"Block Group 1, Census Tract 303, Bristol County, Rhode Island",274
"G44000100303002","2014-2018","RI",,,"Rhode Island","44","Bristol County","001",,,"030300","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010303002",,,"Block Group 2, Census Tract 303, Bristol County, Rhode Island",1578,"Block Group 2, Census Tract 303, Bristol County, Rhode Island",252
"G44000100303003","2014-2018","RI",,,"Rhode Island","44","Bristol County","001",,,"030300","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010303003",,,"Block Group 3, Census Tract 303, Bristol County, Rhode Island",1584,"Block Group 3, Census Tract 303, Bristol County, Rhode Island",239
