GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,AON4E001,NAME_M,AON4M001
"G44000100301001","2017-2021","RI",,,"Rhode Island","44","Bristol County","001",,,"030100","1",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US440010301001",,,"440010301001","Block Group 1, Census Tract 301, Bristol County, Rhode Island",1331,"Block Group 1, Census Tract 301, Bristol County, Rhode Island",387
"G44000100301002","2017-2021","RI",,,"Rhode Island","44","Bristol County","001",,,"030100","2",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US440010301002",,,"440010301002","Block Group 2, Census Tract 301, Bristol County, Rhode Island",871,"Block Group 2, Census Tract 301, Bristol County, Rhode Island",250
"G44000100301003","2017-2021","RI",,,"Rhode Island","44","Bristol County","001",,,"030100","3",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US440010301003",,,"440010301003","Block Group 3, Census Tract 301, Bristol County, Rhode Island",1370,"Block Group 3, Census Tract 301, Bristol County, Rhode Island",404
"G44000100301004","2017-2021","RI",,,"Rhode Island","44","Bristol County","001",,,"030100","4",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US440010301004",,,"440010301004","Block Group 4, Census Tract 301, Bristol County, Rhode Island",1241,"Block Group 4, Census Tract 301, Bristol County, Rhode Island",352
"G44000100302001","2017-2021","RI",,,"Rhode Island","44","Bristol County","001",,,"030200","1",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US440010302001",,,"440010302001","Block Group 1, Census Tract 302, Bristol County, Rhode Island",1019,"Block Group 1, Census Tract 302, Bristol County, Rhode Island",224
"G44000100302002","2017-2021","RI",,,"Rhode Island","44","Bristol County","001",,,"030200","2",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US440010302002",,,"440010302002","Block Group 2, Census Tract 302, Bristol County, Rhode Island",1598,"Block Group 2, Census Tract 302, Bristol County, Rhode Island",416
"G44000100302003","2017-2021","RI",,,"Rhode Island","44","Bristol County","001",,,"030200","3",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US440010302003",,,"440010302003","Block Group 3, Census Tract 302, Bristol County, Rhode Island",733,"Block Group 3, Census Tract 302, Bristol County, Rhode Island",189
"G44000100303001","2017-2021","RI",,,"Rhode Island","44","Bristol County","001",,,"030300","1",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US440010303001",,,"440010303001","Block Group 1, Census Tract 303, Bristol County, Rhode Island",1341,"Block Group 1, Census Tract 303, Bristol County, Rhode Island",354
"G44000100303002","2017-2021","RI",,,"Rhode Island","44","Bristol County","001",,,"030300","2",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US440010303002",,,"440010303002","Block Group 2, Census Tract 303, Bristol County, Rhode Island",1571,"Block Group 2, Census Tract 303, Bristol County, Rhode Island",241
"G44000100303003","2017-2021","RI",,,"Rhode Island","44","Bristol County","001",,,"030300","3",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US440010303003",,,"440010303003","Block Group 3, Census Tract 303, Bristol County, Rhode Island",1781,"Block Group 3, Census Tract 303, Bristol County, Rhode Island",305
