GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,QSPE001,NAME_M,QSPM001
"G44000100301001","2008-2012","RI",,,"Rhode Island","44","Bristol County","001",,,"030100","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010301001",,,"Block Group 1, Census Tract 301, Bristol County, Rhode Island",1581,"Block Group 1, Census Tract 301, Bristol County, Rhode Island",272
"G44000100301002","2008-2012","RI",,,"Rhode Island","44","Bristol County","001",,,"030100","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010301002",,,"Block Group 2, Census Tract 301, Bristol County, Rhode Island",910,"Block Group 2, Census Tract 301, Bristol County, Rhode Island",209
"G44000100301003","2008-2012","RI",,,"Rhode Island","44","Bristol County","001",,,"030100","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010301003",,,"Block Group 3, Census Tract 301, Bristol County, Rhode Island",1347,"Block Group 3, Census Tract 301, Bristol County, Rhode Island",288
"G44000100301004","2008-2012","RI",,,"Rhode Island","44","Bristol County","001",,,"030100","4",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010301004",,,"Block Group 4, Census Tract 301, Bristol County, Rhode Island",1056,"Block Group 4, Census Tract 301, Bristol County, Rhode Island",254
"G44000100302001","2008-2012","RI",,,"Rhode Island","44","Bristol County","001",,,"030200","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010302001",,,"Block Group 1, Census Tract 302, Bristol County, Rhode Island",1269,"Block Group 1, Census Tract 302, Bristol County, Rhode Island",258
"G44000100302002","2008-2012","RI",,,"Rhode Island","44","Bristol County","001",,,"030200","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010302002",,,"Block Group 2, Census Tract 302, Bristol County, Rhode Island",1152,"Block Group 2, Census Tract 302, Bristol County, Rhode Island",223
"G44000100302003","2008-2012","RI",,,"Rhode Island","44","Bristol County","001",,,"030200","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010302003",,,"Block Group 3, Census Tract 302, Bristol County, Rhode Island",765,"Block Group 3, Census Tract 302, Bristol County, Rhode Island",126
"G44000100303001","2008-2012","RI",,,"Rhode Island","44","Bristol County","001",,,"030300","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010303001",,,"Block Group 1, Census Tract 303, Bristol County, Rhode Island",1198,"Block Group 1, Census Tract 303, Bristol County, Rhode Island",173
"G44000100303002","2008-2012","RI",,,"Rhode Island","44","Bristol County","001",,,"030300","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010303002",,,"Block Group 2, Census Tract 303, Bristol County, Rhode Island",1664,"Block Group 2, Census Tract 303, Bristol County, Rhode Island",283
"G44000100303003","2008-2012","RI",,,"Rhode Island","44","Bristol County","001",,,"030300","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010303003",,,"Block Group 3, Census Tract 303, Bristol County, Rhode Island",1583,"Block Group 3, Census Tract 303, Bristol County, Rhode Island",250
"G44000100304001","2008-2012","RI",,,"Rhode Island","44","Bristol County","001",,,"030400","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010304001",,,"Block Group 1, Census Tract 304, Bristol County, Rhode Island",1514,"Block Group 1, Census Tract 304, Bristol County, Rhode Island",269
"G44000100304002","2008-2012","RI",,,"Rhode Island","44","Bristol County","001",,,"030400","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010304002",,,"Block Group 2, Census Tract 304, Bristol County, Rhode Island",1456,"Block Group 2, Census Tract 304, Bristol County, Rhode Island",220
"G44000100304003","2008-2012","RI",,,"Rhode Island","44","Bristol County","001",,,"030400","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010304003",,,"Block Group 3, Census Tract 304, Bristol County, Rhode Island",857,"Block Group 3, Census Tract 304, Bristol County, Rhode Island",178
"G44000100305001","2008-2012","RI",,,"Rhode Island","44","Bristol County","001",,,"030500","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010305001",,,"Block Group 1, Census Tract 305, Bristol County, Rhode Island",718,"Block Group 1, Census Tract 305, Bristol County, Rhode Island",181
"G44000100305002","2008-2012","RI",,,"Rhode Island","44","Bristol County","001",,,"030500","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440010305002",,,"Block Group 2, Census Tract 305, Bristol County, Rhode Island",1072,"Block Group 2, Census Tract 305, Bristol County, Rhode Island",242
